store_id,name,address,city,country,postcode,region,email,phone,url_key,image,latitude,longitude,status,updated_at,created_at,station,description,intro,details_image,distance,external_link,opening_hours,special_opening_hours,category,products,,,
1,Mobile Van Tyre Fitment - Abu Dhabi,Mushrif Mall,Abu Dhabi,AE,0,Dubai,customercare@tyresvision.com,123456789,test-123,,25.1634375,55.237478,1,3/11/2021 4:54,7/21/2020 19:11,Dubai,test,test,,123,,0=08:45->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,1,1,0,
1,Mobile Van Tyre Fitment - Dubai ,,Dubai,AE,0,Abu Dhabi,customercare@tyresvision.com,,,,24.3622487,54.4997673,1,3/2/2021 11:28,8/18/2020 10:54,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,1,1,0,EUT AUH
1,Al Karawan Tyres,"Beside Toyota Al Futtaim Showroom, Sheikh Zayed Rd",Dubai,AE,0,Dubai,customercare@tyresvision.com,123456789,test-mobile-van,,25.1634375,55.237478,1,3/2/2021 11:28,11/3/2020 5:55,test,test,test,,test,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,1,1,75,EUT VAN
1,Al Mailem Tyres,"Masjid - Plot: 56/ 1+2, Industrial Area 3, Near Yellow Cat Opposite Marquas",Dubai,AE,,,customercare@tyresvision.com,,,,24.4337985,54.4123045,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Al Mailem Tyres - SHJ,"Near Curewell General Trading, Ind Area- 11",Dubai,AE,,,customercare@tyresvision.com,,,,25.17067303,55.24142073,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Chelsea Tyres,Al Barsha Third - Hessa St,Dubai,AE,,,customercare@tyresvision.com,,,,25.17609,55.247678,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Fast Fit - Dorra,"Adnoc Service Station, Al Ittihad Road - E11",Dubai,AE,,,customercare@tyresvision.com,,,,25.297667,55.409653,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Fast Fit - Ramool,Located In 10 13Th St,Dubai,AE,,,customercare@tyresvision.com,,,,25.296722,55.431056,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Fast Lane Tyres,"Baghdad Street,
Al Qusais Industrial Area 2
",Dubai,AE,,,customercare@tyresvision.com,,,,25.083236,55.201646,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Goodyear Auto Care,"4Th St , Behind Peugeot Showroom",Dubai,AE,,,customercare@tyresvision.com,,,,25.303269,55.370876,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Goodyear Auto Care,"Airport Road, Cargo Village, Behind Garhoud Leather",Dubai,AE,,,customercare@tyresvision.com,,,,25.2375793,55.3593006,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Gulf Coasts Co.,"Al Nahda Street, Opposite Day To Day,",Dubai,AE,,,customercare@tyresvision.com,,,,25.276284,55.387686,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
1,Hankook Masters,Behind Home Center Warehouse,Dubai,AE,,,customercare@tyresvision.com,,,,25.134958,55.217291,1,3/2/2021 11:28,11/3/2020 5:55,,,,,,,0=09:00->18:00|1=09:00->18:00|2=09:00->18:00|3=09:00->18:00|4=09:00->18:00|5=09:00->18:00|6=09:00->18:00,,,,,,
